date,Item No.,Item Description,Warehouse Code,In Stock,Inventory UoM,company,department,unit cost
20/09/2017,MTGEN0000512,GENARAL - PVC BALL VALVE  1 '',,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000512,GENARAL - PVC BALL VALVE  1 '',,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000519,GENARAL - PVC BEND   75 MM  1000 TYPE,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000521,GENARAL - PVC BOLL VALVE   2 '',,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000567,GENARAL - PVC REDUSING SOCKET   40 MM X 25 MM,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000640,GENARAL - STEEL BALL  5MM,,38,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000644,GENARAL - SUPER GLUE,,46,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000644,GENARAL - SUPER GLUE,,68,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001384,GENARAL - TAP SET 6MMX1MM,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001386,GENARAL - TOA SPRAY,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001414,"GENERAL - GI BALL VALE 3/4""",,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001429,GENERAL - GRUB SCREW 6MMX8MM,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001588,GENARAL - GI PIPE 1'' - MEDIUM DUTY,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001588,GENARAL - GI PIPE 1'' - MEDIUM DUTY,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001638,GENARAL - CEMENTS - 50 KGS,,15,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001638,GENARAL - CEMENTS - 50 KGS,,84,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002420,GENARAL-25mm SUCTION HOSE,,6,METRE,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002554,GENARAL-½” GI T SOCKET,,13,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002580,GENERAL- 2’X 2’ FLOOR TILE,,217,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000785,MECHANICAL - BELT   SPZ 962 LW,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000797,MECHANICAL - BELT  A26,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000851,MECHANICAL - BELT B -53,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000981,MECHANICAL - RUBBER BUSH 74MM (O.D)X51.5MM(I.D)40.3MM LENGTH(AUTO SLICER),,7,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001224,MECHANICAL - AIR FILTER 1625173672 (BLT 70 COMPRESOR BOI),,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001253,MECHANICAL - O RING ID19MMXOD25MMXTH3MM,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001256,MECHANICAL - O RING ID24MMXOD32MMXTH4MM,,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001262,MECHANICAL - O RING ID29MMXOD37MMXTH4MM,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001596,AUTOMOBILE-YTX4L BS – 12V BATTERY,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001682,AUTOMOBILE-MARUTI WAGON R – RADIATOR FAN,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001861,AUTOMOBILE-WIPER BLADE 16”,,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002589,AUTOMOBILE- 100 x  90 x 17 TUBLESS TYRE,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000023,ELECTRICAL - BULB HOLDER  THREAD TYPE E27 PENDENT HOLDER,,14,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000189,ELECTRICAL - SUNG BOX DOUBLE,,56,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0001529,ELECTRICAL - THERMAL OVERLOAD RELAY 1A-1.6A(SEMON BOILER),,1,nos,Western Paper Industries ,STORES,0
20/09/2017,MTELC0002012,ELECTRICAL - SOLANIDE VALVE TSG - 2BZA,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0002355,ELECTRICAL - PHOTOELECTRIC SWITCH,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000264,GENARAL -  ALLAN GRUB SCREW Ø 5MM X 12 MM,,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000311,GENARAL - 12G WELDING ROD,,4,PCKT,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000311,GENARAL - 12G WELDING ROD,,30,PCKT,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000415,GENARAL - G I UNION   1'',,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000431,GENARAL - HACKSAW BLADE  HIGH SPEED,,38,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000431,GENARAL - HACKSAW BLADE  HIGH SPEED,,56,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000459,GENARAL - HOSE CLIP  WIRE TYPE 1 '',,9,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000460,GENARAL - HOSE CLIP  WIRE TYPE 1  1/2'',,12,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000524,GENARAL - PVC CLIP  25 MM / 3/4 '',,900,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000541,GENARAL - PVC FORCET SCOKET  40 MM,,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000607,GENARAL - SAND PAPER   P 100,,12,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001361,GENARAL - DRILL BIT CONCREAT 12MM (HILTI),,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001394,GENERAL - ALLON KEY 13MM,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001409,GENERAL - GALI COVER,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001418,"GENERAL - GI TEE 1""",,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001418,"GENERAL - GI TEE 1""",,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001443,GENERAL - PAINT ENAMAL SAFRON,,2,LETTER,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001590,GENARAL -ANGLE IRON  25MM X25MM X3MM,,13,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001891,GENERAL - ALAN BOLT 5MMX20MM,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002252,GENERAL - LATH MACHINE VERTICAL HARD STOP,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002273,GENERAL - BATTERY TERMINAL (-),,9,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000789,MECHANICAL - BELT  630L,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000804,MECHANICAL - BELT  A50,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000855,MECHANICAL - BELT HOPPER 89 mm X 3556mm,,9,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000944,MECHANICAL - OIL FILTER  1625.1656.01 (BLT 40 COMPRESOR SINTHAWATHA),,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000972,MECHANICAL - PULSE PUMP RUBBER SEAL  Ø 70.3 (O.D)X35.3MM(I.D) X11.4 MM THICKNESS,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000974,MECHANICAL - PUMP DIFRUM  (PULS PUMP),,7,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001223,MECHANICAL - ADJUSTABLE ROD,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001259,MECHANICAL - O RING ID27MMXOD34MMXTH3MM,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001266,MECHANICAL - O RING ID35MMXOD41.5MMXTH3.25MM,,9,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001274,MECHANICAL - O RING ID60MMXOD66MMXTH3MM,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001985,MECHANICAL -GEAR WHEEL 22 T,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0002089,MECHANICAL - CIRCULAR BLADE 250 mm (O.D) X  25.4 mm (I.D)X2.5MM THICKNESS,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001687,AUTOMOBILE-ELF CALIPER KIT,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001865,AUTOMOBILE-DS 10 OIL 20 LTS,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002077,AUTOMOBILE- OIL FILTER C 1712 – SAKURA,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002564,AUTOMOBILE-  600 x 9 Tyre,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000059,ELECTRICAL - EMERGENCY STOP SWICH    LA 39,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000094,ELECTRICAL - INDICATER LAMP PANNEL BOARD  RED   AD 12,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000097,ELECTRICAL - INDICATOR WITH PUSH BUTTON SWITCH  GREEN,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0002432,ELECTRICAL - IGBT FGH40N60SFD  ( INSULATED-GATE BIPOLAR TRANSISTOR ),,7,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTFUL0001211,FUEL & LUBRICANT- SUPER DIESAL,,590.82,LITER,Western Paper Industries ,STORES,0
20/09/2017,MTFUL0002121,FUEL & LUBRICANT- DS 10 OIL LTR 20,,20,CAN,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000251,GENARAL -  ALLAN BOLT   Ø10 MM X 35 MM,,24,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000260,GENARAL -  ALLAN GRUB SCREW   Ø1/2 '' X 1 '',,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000271,GENARAL -  CASTER WHEEL  NON ROTATABLE   4 '' X 2 '',,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000342,GENARAL - BATTERY TERMINAL,,13,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000398,GENARAL - DRILL BIT CONCREET  14 MM (HILTI),,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000429,GENARAL - GRUB SCREW   5 MMX 12MM,,16,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000496,GENARAL - PAINTING BRUSH  4 '',,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000509,GENARAL - PVC  CONDUT SOCKET   25 MM,,16,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000511,GENARAL - PVC BALL VALVE   3/4 '',,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000530,GENARAL - PVC CONDUTE SOCKET  1 '',,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000530,GENARAL - PVC CONDUTE SOCKET  1 '',,125,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000552,GENARAL - PVC PLAIN SOCKET   25MM X 25MM,,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000572,GENARAL - PVC T SOCKET   32 MM,,13,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000578,GENARAL - PVC T SOCKET   63 MM,,11,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000579,GENARAL - PVC T SOCKET   63 MM X 32 MM,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001375,"GENARAL - PVC ELBOW 50MM 2""",,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001408,GENERAL - FLOOR PAINT GREEN,,4,LETTER,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001420,GENERAL - GLASS WOLL CLIP,,39,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001423,GENERAL - GRUB SCREW 18MMX32MM,,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001589,"GENARAL - HIGH PRESURE HORSE INNER SIZE 1""",,10,METRE,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001623,GENARAL - POP RIVET 3/16”X1/2”,,885,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001804,GENERAL -BALL VALVE  G.I ½”,,12,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001880,"GENERAL - GRUB SCREW 6/8""X1 1/4""",,5,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001892,GENERAL -  HEAD BOLT 6MMX50mm,,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001905,GENARAL -  HEX.HED BOLT   16mm X 50 MM,,10,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0001992,GENARAL - ¾”  MATEL,,3,CUBE,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0002581,GENERAL- TILE ADHESIVE,,450,KG,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000767,MECHANICAL - BELT   A 47,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000824,MECHANICAL - BELT  B52,,8,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0000937,MECHANICAL - MOTOR COOLING FAN 28MM X 180MM,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001284,MECHANICAL - O RING ID90MMXOD100MMXTH3MM,,2,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTMEC0001288,MECHANICAL - OIL FILTER 625165622 (BLT 70 COMPRESOR BOI),,3,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0001952,AUTOMOBILE- MARUTI K10 ENGINE MOUNT,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002073,AUTOMOBILE- 12V 21W HELIX BULB,,11,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002483,GENARAL-Ø 1/2” PN16 FLAUGER,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTAUT0002485,GENARAL-1/2” SEAMLESS SCHEDULE 40 BLACK PIPE,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000196,ELECTRICAL - SWITCH 3  GANG  10 A 250V,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0000196,ELECTRICAL - SWITCH 3  GANG  10 A 250V,,7,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0001501,ELECTRICAL - MULTIPLUG SQUARE PIN 13A,,6,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTELC0002016,ELECTRICAL - TENTION CONTROLER,,1,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTFUL0001208,FUEL & LUBRICANT- KEROSINE OIL,,30,LITER,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000266,GENARAL -  ALLAN GRUB SCREW Ø10MM X 16 MM,,4,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000305,GENARAL -  NUT  STEEL 6 MM,,63,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000308,GENARAL -  NUT STEEL 10 MM,,20,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000375,GENARAL - CONDUTE PIPE  1/2 '',,60,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000449,GENARAL - HEX HEAD BOLT  STEEL  12 MM X1'',,19,NOS,Western Paper Industries ,STORES,0
20/09/2017,MTGEN0000514,GENARAL - PVC BEND   2 '',,11,NOS,Western Paper Industries ,STORES,0
