no,Item No.,Des,company no,company,dept no,department,Inventory Uom,cur bal,adj qty,new bal,unit cost,total,wh code,wh
0,MTPNM0001327,aa,1,Western Paper Industries ,4,STORES,NOS,0,27,27,0,0,0,0
0,MTAUT0001862,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTAUT0001862,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001933,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001935,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002571,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002591,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTELC0000093,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTELC0000154,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTELC0001520,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTELC0001530,aa,1,Western Paper Industries ,4,STORES,nos,0,1,1,0,0,0,0
0,MTELC0001673,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTFUL0002377,aa,1,Western Paper Industries ,4,STORES,LITER,0,20,20,0,0,0,0
0,MTGEN0000306,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTGEN0000323,aa,1,Western Paper Industries ,4,STORES,NOS,0,43,43,0,0,0,0
0,MTGEN0000329,aa,1,Western Paper Industries ,4,STORES,NOS,0,39,39,0,0,0,0
0,MTGEN0000512,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0000512,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTGEN0000519,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0000521,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0000567,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0000640,aa,1,Western Paper Industries ,4,STORES,NOS,0,38,38,0,0,0,0
0,MTGEN0000644,aa,1,Western Paper Industries ,4,STORES,NOS,0,46,46,0,0,0,0
0,MTGEN0000644,aa,1,Western Paper Industries ,4,STORES,NOS,0,68,68,0,0,0,0
0,MTGEN0001384,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0001386,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTGEN0001414,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0001429,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTGEN0001588,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0001588,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0001638,aa,1,Western Paper Industries ,4,STORES,NOS,0,15,15,0,0,0,0
0,MTGEN0001638,aa,1,Western Paper Industries ,4,STORES,NOS,0,84,84,0,0,0,0
0,MTGEN0002420,aa,1,Western Paper Industries ,4,STORES,METRE,0,6,6,0,0,0,0
0,MTGEN0002554,aa,1,Western Paper Industries ,4,STORES,NOS,0,13,13,0,0,0,0
0,MTGEN0002580,aa,1,Western Paper Industries ,4,STORES,NOS,0,217,217,0,0,0,0
0,MTMEC0000785,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTMEC0000797,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTMEC0000851,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTMEC0000981,aa,1,Western Paper Industries ,4,STORES,NOS,0,7,7,0,0,0,0
0,MTMEC0001224,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTMEC0001253,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTMEC0001256,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTMEC0001262,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTAUT0001596,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001682,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001861,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTAUT0002589,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTELC0000023,aa,1,Western Paper Industries ,4,STORES,NOS,0,14,14,0,0,0,0
0,MTELC0000189,aa,1,Western Paper Industries ,4,STORES,NOS,0,56,56,0,0,0,0
0,MTELC0001529,aa,1,Western Paper Industries ,4,STORES,nos,0,1,1,0,0,0,0
0,MTELC0002012,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTELC0002355,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0000264,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTGEN0000311,aa,1,Western Paper Industries ,4,STORES,PCKT,0,4,4,0,0,0,0
0,MTGEN0000311,aa,1,Western Paper Industries ,4,STORES,PCKT,0,30,30,0,0,0,0
0,MTGEN0000415,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0000431,aa,1,Western Paper Industries ,4,STORES,NOS,0,38,38,0,0,0,0
0,MTGEN0000431,aa,1,Western Paper Industries ,4,STORES,NOS,0,56,56,0,0,0,0
0,MTGEN0000459,aa,1,Western Paper Industries ,4,STORES,NOS,0,9,9,0,0,0,0
0,MTGEN0000460,aa,1,Western Paper Industries ,4,STORES,NOS,0,12,12,0,0,0,0
0,MTGEN0000524,aa,1,Western Paper Industries ,4,STORES,NOS,0,900,900,0,0,0,0
0,MTGEN0000541,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTGEN0000607,aa,1,Western Paper Industries ,4,STORES,NOS,0,12,12,0,0,0,0
0,MTGEN0001361,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0001394,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0001409,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0001418,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0001418,aa,1,Western Paper Industries ,4,STORES,NOS,0,8,8,0,0,0,0
0,MTGEN0001443,aa,1,Western Paper Industries ,4,STORES,LETTER,0,2,2,0,0,0,0
0,MTGEN0001590,aa,1,Western Paper Industries ,4,STORES,NOS,0,13,13,0,0,0,0
0,MTGEN0001891,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0002252,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0002273,aa,1,Western Paper Industries ,4,STORES,NOS,0,9,9,0,0,0,0
0,MTMEC0000789,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTMEC0000804,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTMEC0000855,aa,1,Western Paper Industries ,4,STORES,NOS,0,9,9,0,0,0,0
0,MTMEC0000944,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTMEC0000972,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTMEC0000974,aa,1,Western Paper Industries ,4,STORES,NOS,0,7,7,0,0,0,0
0,MTMEC0001223,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTMEC0001259,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTMEC0001266,aa,1,Western Paper Industries ,4,STORES,NOS,0,9,9,0,0,0,0
0,MTMEC0001274,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTMEC0001985,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTMEC0002089,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001687,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0001865,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002077,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002564,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTELC0000059,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTELC0000094,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTELC0000097,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTELC0002432,aa,1,Western Paper Industries ,4,STORES,NOS,0,7,7,0,0,0,0
0,MTFUL0001211,aa,1,Western Paper Industries ,4,STORES,LITER,0,590.82,590.82,0,0,0,0
0,MTFUL0002121,aa,1,Western Paper Industries ,4,STORES,CAN,0,20,20,0,0,0,0
0,MTGEN0000251,aa,1,Western Paper Industries ,4,STORES,NOS,0,24,24,0,0,0,0
0,MTGEN0000260,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0000271,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0000342,aa,1,Western Paper Industries ,4,STORES,NOS,0,13,13,0,0,0,0
0,MTGEN0000398,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0000429,aa,1,Western Paper Industries ,4,STORES,NOS,0,16,16,0,0,0,0
0,MTGEN0000496,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTGEN0000509,aa,1,Western Paper Industries ,4,STORES,NOS,0,16,16,0,0,0,0
0,MTGEN0000511,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTGEN0000530,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTGEN0000530,aa,1,Western Paper Industries ,4,STORES,NOS,0,125,125,0,0,0,0
0,MTGEN0000552,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTGEN0000572,aa,1,Western Paper Industries ,4,STORES,NOS,0,13,13,0,0,0,0
0,MTGEN0000578,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTGEN0000579,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0001375,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTGEN0001408,aa,1,Western Paper Industries ,4,STORES,LETTER,0,4,4,0,0,0,0
0,MTGEN0001420,aa,1,Western Paper Industries ,4,STORES,NOS,0,39,39,0,0,0,0
0,MTGEN0001423,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTGEN0001589,aa,1,Western Paper Industries ,4,STORES,METRE,0,10,10,0,0,0,0
0,MTGEN0001623,aa,1,Western Paper Industries ,4,STORES,NOS,0,885,885,0,0,0,0
0,MTGEN0001804,aa,1,Western Paper Industries ,4,STORES,NOS,0,12,12,0,0,0,0
