no,ITEM CODE,Des,company no,company,dept no,department,Inventory UoM,cur bal,adj qty,NewBal,unit cost,total,wh code,wh
0,MTAUT0002065,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002068,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTAUT0002069,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTAUT0002070,aa,1,Western Paper Industries ,4,STORES,NOS,0,10,10,0,0,0,0
0,MTAUT0002071,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTAUT0002072,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTAUT0002073,aa,1,Western Paper Industries ,4,STORES,NOS,0,11,11,0,0,0,0
0,MTAUT0002074,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002075,aa,1,Western Paper Industries ,4,STORES,liter,0,40,40,0,0,0,0
0,MTAUT0002076,aa,1,Western Paper Industries ,4,STORES,liter,0,28,28,0,0,0,0
0,MTAUT0002077,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002078,aa,1,Western Paper Industries ,4,STORES,NOS,0,5,5,0,0,0,0
0,MTAUT0002079,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002080,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002081,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002087,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTAUT0002090,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002091,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002092,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002093,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002094,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002095,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002105,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002106,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002107,aa,1,Western Paper Industries ,4,STORES,FEET,0,0,0,0,0,0,0
0,MTAUT0002108,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002112,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTAUT0002113,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002114,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002115,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002116,aa,1,Western Paper Industries ,4,STORES,NOS,0,6,6,0,0,0,0
0,MTAUT0002123,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002124,aa,1,Western Paper Industries ,4,STORES,NOS,0,4,4,0,0,0,0
0,MTAUT0002125,aa,1,Western Paper Industries ,4,STORES,NOS,0,1,1,0,0,0,0
0,MTAUT0002126,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002134,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002135,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002136,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002137,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002138,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002139,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002140,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002141,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002155,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002156,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002157,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002158,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002161,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002162,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002163,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002164,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002165,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002166,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002167,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002168,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002169,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002176,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002177,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002180,aa,1,Western Paper Industries ,4,STORES,NOS,0,-2,-2,0,0,0,0
0,MTAUT0002181,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002182,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002183,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002184,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002189,aa,1,Western Paper Industries ,4,STORES,NOS,0,15,15,0,0,0,0
0,MTAUT0002190,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002191,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002192,aa,1,Western Paper Industries ,4,STORES,NOS,0,3,3,0,0,0,0
0,MTAUT0002193,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002194,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002195,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002197,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002198,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002226,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002235,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002236,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002240,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002241,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002242,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002243,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002244,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002262,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002278,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002279,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002280,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002281,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002282,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002283,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002284,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002290,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002293,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002294,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002297,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002298,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002299,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002300,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002301,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002302,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002303,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002304,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002313,aa,1,Western Paper Industries ,4,STORES,NOS,0,2,2,0,0,0,0
0,MTAUT0002314,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002370,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002371,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
0,MTAUT0002372,aa,1,Western Paper Industries ,4,STORES,NOS,0,0,0,0,0,0,0
